"lat"	"long"	"mean(cpue)"
37.45198	-122.01958	98.8150169
37.45971	-121.97707	330.7357877
37.45985	-121.97654	1534.410694
37.46192	-121.98792	71.93565787
37.46242	-122.03561	32.62891352
37.46676	-121.98192	503.5135394
37.92843	-122.4622	244.8188977
37.96174	-122.46809	115.2951464
37.9933	-122.4463	12.20119636
38.01774	-122.51128	195.4663305
38.01821	-122.51694	127.5261225
38.0328055555556	-121.869305555556	63.6292666364579
38.0372	-122.37099	10.35415347
38.0396944444444	-122.1505	54.676955255869
38.0421944444444	-121.795222222222	59.6345082094772
38.0436944444444	-121.844	50.4226736080133
38.04373333	-122.36845	76.84070369
38.0455	-121.918805555556	72.3471230844601
38.0483055555556	-122.282805555556	85.4471709091415
38.0513055555556	-122.083305555556	119.473038250677
38.0525	-121.689194444444	71.8223028317444
38.0583055555556	-121.868	47.5901001474646
38.0603055555556	-122.35	149.391574965303
38.06066	-122.44836	119.4710015
38.0610555555556	-122.013722222222	63.290363325317
38.0610833333333	-122.278	229.392521190079
38.0636111111111	-122.304	270.857104414591
38.06397	-122.29299	137.9133549
38.06427	-122.29279	22.22716307
38.06447	-122.29618	1378.994213
38.0648055555556	-122.097805555556	69.3725610060779
38.0662	-122.29628	148.4151352
38.06622	-122.42171	134.4066511
38.06644	-122.46133	60.30987697
38.067	-122.3167	824.9624129
38.0691666666667	-121.775277777778	11.0404146622532
38.06931	-122.32516	67.18510636
38.06948	-122.33301	11.52595933
38.0711111111111	-122.324	330.331313429157
38.0723055555556	-121.959694444444	113.849540432099
38.07516	-122.34478	590.0440336
38.0763888888889	-122.338	905.509087086807
38.07682	-122.35416	276.2604938
38.0784	-122.33237	25.22027578
38.07882	-122.30067	79.83039341
38.07925	-122.44823	251.1504058
38.08015	-122.43507	289.1991771
38.0851944444444	-121.750694444444	60.4818547010959
38.08661	-122.38854	189.5594703
38.0882222222222	-122.003583333333	155.229384984669
38.08986	-122.42593	10.4044841
38.0903055555556	-121.6405	46.4783362313583
38.09112	-122.37687	390.5855477
38.09573	-122.39832	121.1415273
38.0992777777778	-122.263444444444	498.885735779281
38.09975	-122.33733	123.6176762
38.10213	-122.32297	473.3073582
38.10571	-122.45691	62.72256318
38.11026	-122.41071	104.1280866
38.11063	-122.46909	312.1472736
38.111	-122.48107	20.58779302
38.11105	-122.3503	487.3219424
38.11119	-122.4812	12.70701797
38.11287	-122.36347	38.68262254
38.11341	-122.50298	78.86639754
38.114	-122.046194444444	40.8747267371596
38.11507	-122.41864	429.1557425
38.11746667	-122.3799667	90.03126966
38.11996	-122.39072	236.8681109
38.12133	-122.50998	25.34197346
38.12143	-122.28625	255.3505516
38.12172	-122.29065	10.99176521
38.12525	-122.3002333	267.6022756
38.12671	-122.51103	22.49511395
38.13028	-122.51282	66.40911882
38.13581	-122.39008	90.24746011
38.13677	-122.39138	202.334514
38.14114	-122.39515	280.610154
38.14145	-122.29702	103.2105523
38.14243	-122.29488	84.92655551
38.14247	-122.5218	101.23293
38.14436	-122.39787	160.7875244
38.1458611111111	-122.285083333333	421.385511720452
38.149	-122.5347	60.80791044
38.15501	-122.54094	27.00797108
38.15638	-122.40702	78.00267857
38.15651	-122.40702	11.92026279
38.15726	-122.54902	140.7027483
38.158	-122.54633	100.5972256
38.1613	-122.41942	12.07452834
38.16269	-122.4147	58.38273018
38.16508	-122.29254	807.6239703
38.16555	-122.53949	42.81056771
38.16674	-122.53452	168.9392862
38.16689	-122.41577	11.46216251
38.1671944444444	-121.938	64.3763820281459
38.1694722222222	-122.025666666667	87.6425340886578
38.16954	-122.55693	20.64118114
38.16998	-122.55311	11.8009718
38.174001	-122.415647	11.62379296
38.18415	-122.31176	83.83023305
38.1858055555556	-122.310972222222	225.733815640506
38.18692	-122.42121	21.74518079
38.18834	-122.40478	111.7158663
38.18853	-122.411069	34.69562867
38.18929	-122.32685	85.8580366
38.18999	-122.34476	1806.741961
38.19078	-122.34804	12.08713402
38.19124	-122.39339	46.56529712
38.19608	-122.5475	23.13357025
38.19737	-122.32127	11.06770554
38.19873	-122.3229	110.6307324
38.20013	-122.3243	12.44137035
38.20929	-122.56556	60.16823037
38.2124722222222	-122.307166666667	42.1852763945689
38.21376	-122.30135	10.69455327
38.2317777777778	-122.29275	40.1917091948338
38.2409166666667	-122.285361111111	38.8150276469536
38.2425	-121.659444444444	21.0743200268433
38.2582777777778	-121.691638888889	29.6746968147289
38.2730833333333	-122.284638888889	64.2816503079509
