"lat"	"long"	"method"	"Date"
38.2121	-122.292783	"SLS"	2015-01-03
38.22195	-122.42185	"SLS"	2015-01-03
38.200767	-122.3981	"SLS"	2015-01-03
37.44184	-121.95965	"SLS"	2015-01-04
37.44822	-121.96689	"SLS"	2015-01-04
37.46145	-121.967067	"SLS"	2015-01-04
37.463417	-121.962333	"SLS"	2015-01-04
37.463433	-121.966617	"SLS"	2015-01-04
37.461467	-121.966233	"SLS"	2015-01-04
37.46675483	-121.9443538	"SLS"	2015-01-04
37.462417	-121.952233	"SLS"	2015-01-04
38.225983	-122.60905	"SLS"	2015-01-09
38.209383	-122.565417	"SLS"	2015-01-09
38.194433	-122.547383	"SLS"	2015-01-09
38.17405	-122.563967	"SLS"	2015-01-09
38.203667	-122.568217	"SLS"	2015-01-09
38.218067	-122.300017	"SLS"	2015-01-11
38.213267	-122.30895	"SLS"	2015-01-11
38.191867	-122.315833	"SLS"	2015-01-11
38.186833	-122.326417	"SLS"	2015-01-11
38.190092	-122.327539	"SLS"	2015-01-11
38.27605	-122.282367	"SLS"	2015-01-11
38.22886667	-122.6166833	"SLS"	2015-01-22
38.176	-122.567117	"SLS"	2015-01-22
38.19965709	-122.5546042	"SLS"	2015-01-22
38.22073727	-122.595051	"SLS"	2015-01-22
37.42966	-121.98306	"SLS"	2015-01-24
37.44714	-122.01925	"SLS"	2015-01-24
37.46041	-121.98019	"SLS"	2015-01-24
37.44174	-121.95965	"SLS"	2015-01-25
37.45264	-121.96597	"SLS"	2015-01-25
37.4592	-121.96461	"SLS"	2015-01-25
37.46411	-121.9462	"SLS"	2015-01-25
38.19847	-122.39343	"SLS"	2015-01-26
38.21461	-122.428	"SLS"	2015-01-26
38.196088	-122.353832	"SLS"	2015-01-26
38.19139	-122.34964	"SLS"	2015-01-26
38.19145	-122.33683	"SLS"	2015-01-26
38.21467	-122.30548	"SLS"	2015-01-26
38.21337	-122.30869	"SLS"	2015-01-26
38.21909	-122.30833	"SLS"	2015-01-26
38.29662	-122.28218	"SLS"	2015-02-04
38.281984	-122.285269	"SLS"	2015-02-04
