"id"	"Date"	"long"	"lat"
1310	2015-10-24	-122.02489	37.4557
1311	2015-10-24	-121.98274	37.46601
1312	2015-10-24	-121.97608	37.46187
1313	2015-10-24	-121.98019	37.46041
1314	2015-10-24	-121.97658	37.46024
1315	2015-10-24	-122.03674	37.46186
1316	2015-10-24	-122.08282	37.484238
1317	2015-10-24	NA	NA
1318	2015-10-24	-122.07002	37.47272
1319	2015-10-24	-122.02244	37.46243
1320	2015-10-24	-121.99992	37.44
1321	2015-10-24	-121.98306	37.42966
1322	2015-10-25	-121.96207	37.44455
1323	2015-10-25	-121.96597	37.45264
1324	2015-10-25	-121.96461	37.4592
1325	2015-10-25	-121.96486	37.46358
1326	2015-10-25	-121.9525	37.46251
1327	2015-10-25	-121.94421	37.45332
1328	2015-10-25	-121.95947	37.4625
1329	2015-10-25	-121.93987	37.46289
1330	2015-10-25	-121.9462	37.46411
1331	2015-10-25	-121.95162	37.46141
1332	2015-10-25	-121.95162	37.46141
1333	2015-11-14	-121.98306	37.42966
1334	2015-11-14	-121.99992	37.44
1335	2015-11-14	-122.02244	37.46243
1336	2015-11-14	-122.02489	37.4557
1337	2015-11-14	-122.03674	37.46186
1338	2015-11-14	-122.07002	37.47272
1339	2015-11-14	-122.08282	37.484238
1340	2015-11-14	-121.98274	37.46601
1341	2015-11-14	-121.97608	37.46187
1342	2015-11-14	-121.98019	37.46041
1343	2015-11-14	-121.97658	37.46024
1344	2015-11-15	-121.96207	37.44455
1345	2015-11-15	-121.96597	37.45264
1346	2015-11-15	-121.96461	37.4592
1347	2015-11-15	-121.96486	37.46358
1348	2015-11-15	-121.9525	37.46251
1349	2015-11-15	-121.9462	37.46411
1350	2015-11-15	-121.93987	37.46289
1351	2015-11-15	-121.94421	37.45332
1353	2015-11-15	-121.95162	37.46141
1354	2015-12-12	-121.98306	37.42966
1355	2015-12-12	-121.99992	37.44
1356	2015-12-12	-122.02244	37.46243
1357	2015-12-12	-122.03674	37.46186
1358	2015-12-12	-122.08282	37.484238
1359	2015-12-12	-122.07002	37.47272
1360	2015-12-12	-121.98274	37.46601
1361	2015-12-12	-121.97608	37.46187
1362	2015-12-12	-121.98019	37.46041
1363	2015-12-12	-121.97658	37.46024
1364	2015-12-13	-121.96207	37.44455
1365	2015-12-13	-121.96597	37.45264
1366	2015-12-13	-121.96461	37.4592
1367	2015-12-13	-121.9525	37.46251
1368	2015-12-13	-121.96486	37.46358
1369	2015-12-13	-121.93987	37.46289
1370	2015-12-13	-121.9462	37.46411
1371	2015-12-13	-121.94421	37.45332
1372	2015-12-13	-121.95947	37.4625
1373	2015-12-13	-121.95162	37.46141
1374	2016-01-10	-121.95162	37.46141
1375	2016-01-10	-121.95947	37.4625
1376	2016-01-10	-121.94421	37.45332
1377	2016-01-10	-121.93987	37.46289
1378	2016-01-10	-121.9525	37.46251
1379	2016-01-10	-121.96486	37.46358
1380	2016-01-10	-121.93987	37.46289
1381	2016-01-10	-121.96461	37.4592
1382	2016-01-10	-121.96597	37.45264
1383	2016-01-10	-121.96207	37.44455
1384	2016-01-09	-121.97658	37.46024
1385	2016-01-09	-121.98019	37.46041
1386	2016-01-09	-121.98274	37.46601
1387	2016-01-09	-121.97608	37.46187
1388	2016-01-09	-122.03674	37.46186
1389	2016-01-09	-122.08282	37.484238
1390	2016-01-09	-122.07002	37.47272
1391	2016-01-09	-122.02244	37.46243
1392	2016-01-09	-121.99992	37.44
1393	2016-01-09	-121.98306	37.42966
1394	2016-01-23	-121.93987	37.46289
1395	2016-01-23	-121.9462	37.46411
1396	2016-01-23	-121.9525	37.46251
1397	2016-01-23	-121.96486	37.46358
1398	2016-01-23	-121.95162	37.46141
1399	2016-01-23	-121.96461	37.4592
1400	2016-01-23	-121.96597	37.45264
1401	2016-02-13	-121.95162	37.46141
1402	2016-02-13	-121.9462	37.46411
1403	2016-02-13	-121.9525	37.46251
1404	2016-02-13	-121.96486	37.46358
1405	2016-02-13	-121.96461	37.4592
1406	2016-02-13	-121.96597	37.45264
1407	2016-02-20	-121.99992	37.44
1408	2016-02-20	-121.98306	37.42966
1409	2016-02-20	-122.02244	37.46243
1410	2016-02-20	-122.03674	37.46186
1411	2016-02-20	-122.07002	37.47272
1412	2016-02-20	-122.08282	37.484238
1413	2016-02-20	-121.98274	37.46601
1414	2016-02-20	-121.98019	37.46041
1415	2016-02-20	-121.97608	37.46187
1416	2016-02-20	-121.97658	37.46024
1417	2016-02-20	-121.98019	37.46041
1418	2016-02-20	-121.97658	37.46024
1419	2016-02-20	-122.02244	37.46243
1420	2016-02-21	-121.96207	37.44455
1421	2016-02-21	-121.96597	37.45264
1422	2016-02-21	-121.96461	37.4592
1423	2016-02-21	-121.94421	37.45332
1424	2016-02-21	-121.95947	37.4625
1425	2016-02-21	-121.96486	37.46358
1426	2016-02-21	-121.9525	37.46251
1427	2016-02-21	-121.93987	37.46289
1428	2016-02-21	-121.9462	37.46411
1429	2016-02-21	-121.95162	37.46141
1430	2016-03-12	-121.98306	37.42966
1431	2016-03-12	-121.99992	37.44
1432	2016-03-12	-122.03674	37.46186
1433	2016-03-12	-122.02244	37.46243
1434	2016-03-12	-122.08282	37.484238
1435	2016-03-12	-122.07002	37.47272
1436	2016-03-12	-121.97658	37.46024
1437	2016-03-12	-121.98019	37.46041
1438	2016-03-12	-121.94421	37.45332
1439	2016-03-13	-121.95947	37.4625
1440	2016-03-12	-121.97608	37.46187
1441	2016-03-12	-121.98274	37.46601
1442	2016-03-13	-121.96207	37.44455
1443	2016-03-13	-121.96597	37.45264
1444	2016-03-13	-121.95162	37.46141
1445	2016-03-13	-121.96461	37.4592
1446	2016-03-13	-121.93987	37.46289
1447	2016-03-13	-121.9462	37.46411
1448	2016-03-13	-121.96486	37.46358
1449	2016-03-13	-121.9525	37.46251
1450	2016-04-09	-122.02244	37.46243
1451	2016-04-09	-122.03674	37.46186
1452	2016-04-09	-122.07002	37.47272
1453	2016-04-09	-122.08282	37.484238
1454	2016-04-09	-121.98019	37.46041
1455	2016-04-09	-121.98274	37.46601
1456	2016-04-09	-121.97608	37.46187
1457	2016-04-09	-121.97658	37.46024
1458	2016-04-09	-121.99992	37.44
1459	2016-04-10	-121.96207	37.44455
1460	2016-04-10	-121.96597	37.45264
1461	2016-04-10	-121.95162	37.46141
1462	2016-04-10	-121.9462	37.46411
1463	2016-04-10	-121.93987	37.46289
1464	2016-04-10	-121.96461	37.4592
1465	2016-04-10	-121.96486	37.46358
1466	2016-04-10	-121.9525	37.46251
1467	2015-12-09	-122.612553	38.227792
1468	2015-12-09	-122.583167	38.214533
1469	2015-12-09	-122.565417	38.209383
1470	2015-12-09	-122.568217	38.203667
1471	2015-12-09	-122.547383	38.194433
1472	2015-12-09	-122.51256	38.12967
1473	2015-12-09	-122.52125	38.14198
1474	2015-12-09	-122.53321	38.16699
1475	2015-12-10	-122.42719	38.22847
1476	2015-12-10	-122.42696	38.21763
1477	2015-12-10	-122.40447	38.18842
1478	2015-12-10	-122.4148	38.16997
1479	2015-12-10	-122.404931	38.188331
1480	2015-12-10	-122.416103	38.176197
1481	2015-12-10	-122.419576	38.161181
1482	2015-12-10	-122.404988	38.152513
1483	2015-12-11	-122.3032223	38.21399306
1484	2015-12-11	-122.3028172	38.17986226
1485	2015-12-11	-122.2864	38.25985
1486	2015-12-11	-122.3383152	38.19080032
1487	2015-12-11	-122.2826122	38.27562092
1488	2015-12-11	-122.3483418	38.19095224
1489	2015-12-11	-122.3426	38.189833
1490	2015-12-11	-122.2826122	38.27562092
1491	2016-01-05	-122.286005	38.26807568
1492	2016-01-05	-122.2859543	38.25974554
1493	2016-01-06	-122.4276272	38.22821379
1494	2016-01-06	-122.4238341	38.22092825
1495	2016-01-06	-122.4159704	38.2130992
1496	2016-01-06	-122.3954321	38.1905256
1497	2016-01-06	-122.4191159	38.1817367
1498	2016-01-07	-122.6089098	38.22591249
1499	2016-01-07	-122.6005835	38.22096295
1500	2016-01-07	-122.5843472	38.20953738
1501	2016-01-07	-122.5656129	38.20047094
1502	2016-01-07	-122.6399485	38.23502519
1503	2016-01-07	-122.5113299	38.12551088
1504	2016-01-07	-122.5207664	38.14105335
1504	2016-01-07	-122.5140128	38.13439229
1505	2016-01-07	-122.5388068	38.15252518
1507	2016-01-08	-122.2826122	38.27562092
1508	2016-01-08	-122.2859543	38.25974554
1509	2016-01-08	-122.2877267	38.23356509
1510	2016-01-08	-122.3106156	38.2175378
1511	2016-01-08	-122.3383152	38.19080032
1512	2016-01-08	-122.3287444	38.19267397
1513	2016-01-08	-122.3125905	38.1845717
1514	2016-01-08	-122.3032223	38.21399306
1515	2016-01-13	-122.6292631	38.2316484
1516	2016-01-13	-122.537581	38.16610171
1517	2016-01-13	-122.5564077	38.1983431
1518	2016-01-14	-122.4196709	38.18793519
1519	2016-01-14	-122.413935	38.16235487
1520	2016-01-14	-122.40161	38.1494281
