"id"	"Date"	"long"	"lat"
1812	2015-01-25	-121.96597	37.45264
1813	2015-01-25	-121.96461	37.4592
1814	2015-01-25	-121.95162	37.46141
1815	2015-01-25	-121.93987	37.46289
1816	2015-01-25	-121.9462	37.46411
1817	2015-01-25	-121.9525	37.46251
1818	2015-01-25	-121.96486	37.46358
1819	2015-02-04	-122.28218	38.29662
1820	2015-02-04	-122.28218	38.28177
1821	2015-02-04	-122.28463	38.26511
1822	2015-02-04	-122.28541	38.24458
1824	2015-02-04	-122.43023	38.23308
1825	2015-02-04	-122.42185	38.22195
1826	2015-02-04	-122.3981	38.200767
1827	2015-02-04	-122.42747	38.21669
1828	2015-02-04	-122.4046	38.20691
1829	2015-02-05	-122.612553	38.227792
1830	2015-02-05	-122.583167	38.214533
1831	2015-02-05	-122.565417	38.209383
1832	2015-02-05	-122.568217	38.203667
1835	2015-02-07	-121.96207	37.44455
1836	2015-02-07	-121.96597	37.45264
1837	2015-02-07	-121.96461	37.4592
1839	2015-02-07	-121.93987	37.46289
1840	2015-02-07	-121.9462	37.46411
1841	2015-02-07	-121.9525	37.46251
1842	2015-02-07	-121.96486	37.46358
1843	2015-02-07	-121.95162	37.46141
1844	2015-02-13	-122.612553	38.227792
1845	2015-02-13	-122.583167	38.214533
1846	2015-02-13	-122.565417	38.209383
1847	2015-02-13	-122.568217	38.203667
1848	2015-02-13	-122.547383	38.194433
1849	2015-02-13	-122.51256	38.12967
1850	2015-02-13	-122.52125	38.14198
1851	2015-02-13	-122.53321	38.16699
1852	2015-02-13	-122.54273	38.18334
1854	2015-02-14	-122.286	38.26634
1855	2015-02-14	-122.29369	38.25166
1856	2015-02-14	-122.30267	38.2269
1857	2015-02-14	-122.30888	38.2139
1858	2015-02-14	-122.310783	38.219717
1859	2015-02-14	-122.292783	38.2121
1862	2015-02-14	-122.33732	38.191
1863	2015-02-14	-122.34489	38.19001
2002	2015-05-29	NA	NA
2003	2015-05-29	NA	NA
2321	2015-04-23	-122.28629	38.26836
2322	2015-04-23	-122.3426	38.189833
2323	2015-04-23	-122.292783	38.2121
1864	2015-02-14	-122.31477	38.19768
1865	2015-02-15	-122.42719	38.22847
1866	2015-02-15	-122.41283	38.21991
1867	2015-02-15	-122.42696	38.21763
1868	2015-02-15	-122.40447	38.18842
1869	2015-02-15	-122.4148	38.16997
1870	2015-02-21	-122.02244	37.46243
1871	2015-02-21	-122.03674	37.46186
1872	2015-02-21	-121.98019	37.46041
1873	2015-02-21	-121.97608	37.46187
1874	2015-02-21	-121.98274	37.46601
1875	2015-02-21	-121.98104	37.46221
1876	2015-02-21	-121.97658	37.46024
1877	2015-02-21	-121.98019	37.46041
1878	2015-02-21	-122.02489	37.4557
1879	2015-02-21	-121.98306	37.42966
1880	2015-02-22	-121.96207	37.44455
1881	2015-02-22	-121.96597	37.45264
1882	2015-02-22	-121.96461	37.4592
1883	2015-02-22	-121.93987	37.46289
1884	2015-02-22	-121.9462	37.46411
1885	2015-02-22	-121.98019	37.46041
1886	2015-02-22	-121.96486	37.46358
1887	2015-02-22	-121.9525	37.46251
1888	2015-02-22	-121.95162	37.46141
1889	2015-03-06	-122.568217	38.203667
1890	2015-03-06	-122.53321	38.16699
1891	2015-03-06	-122.52125	38.14198
1892	2015-03-06	-122.51256	38.12967
1893	2015-03-05	-122.293	38.21204
1894	2015-03-05	-122.31002	38.22124
1895	2015-03-05	-122.29712	38.23093
1896	2015-03-05	-122.28762	38.23605
1897	2015-03-05	-122.2864	38.25985
1898	2015-03-05	-122.28629	38.26836
1899	2015-03-05	-122.3426	38.189833
1900	2015-03-05	-122.347617	38.190583
1901	2015-03-04	-122.404988	38.152513
1902	2015-03-04	-122.419576	38.161181
1903	2015-03-04	-122.416103	38.176197
1904	2015-03-04	-122.404931	38.188331
1905	2015-03-04	-122.4148	38.16997
1906	2015-03-04	-122.40447	38.18842
1907	2015-03-04	-122.42696	38.21763
1908	2015-03-04	-122.42719	38.22847
1909	2015-03-06	-122.612553	38.227792
1910	2015-03-06	-122.565417	38.209383
1911	2015-03-06	-122.583167	38.214533
1912	2015-03-06	-122.547383	38.194433
1913	2015-03-07	-121.98306	37.42966
1914	2015-03-07	-122.02244	37.46243
1915	2015-03-07	-121.98019	37.46041
1916	2015-03-07	-121.97658	37.46024
1917	2015-03-07	-122.02489	37.4557
1918	2015-03-07	-122.03674	37.46186
1919	2015-03-07	-121.98274	37.46601
1920	2015-03-07	-121.98104	37.46221
1921	2015-03-07	-121.97658	37.46024
1922	2015-03-07	-122.02489	37.4557
1923	2015-03-08	-121.96207	37.44455
1924	2015-03-08	-121.96597	37.45264
1925	2015-03-08	-121.96461	37.4592
1925	2015-03-08	-121.94421	37.45332
1930	2015-03-08	-121.94421	37.45332
