"lat"	"long"	"method"	"Date"
NA	NA	"Mysid"	2015-12-10
38.29089	-122.28179	"SLS"	2015-12-16
38.274554	-122.283062	"SLS"	2015-12-16
38.23411263	-122.6344052	"SLS"	2015-12-16
38.22987001	-122.6274154	"SLS"	2015-12-16
37.43811667	-121.9920333	"Mysid"	2015-12-12
37.46352	-121.99136	"Mysid"	2015-12-12
37.4644	-121.9856833	"Mysid"	2015-12-12
37.450898	-121.967682	"Mysid"	2015-12-13
37.46381667	-121.9589833	"Mysid"	2015-12-13
38.22755	-122.4279	"SLS"	2016-01-04
38.21988333	-122.4251833	"SLS"	2016-01-04
38.234547	-122.638429	"SLS"	2016-01-04
38.22953333	-122.6243167	"SLS"	2016-01-04
38.308152	-122.279441	"SLS"	2016-01-05
38.30022	-122.27915	"SLS"	2016-01-05
38.301881	-122.278842	"SLS"	2016-01-05
38.30908	-122.278763	"SLS"	2016-01-05
38.305654	-122.281904	"SLS"	2016-01-05
38.303416	-122.281197	"SLS"	2016-01-05
38.27711667	-122.2821667	"SLS"	2016-01-05
38.28563	-122.285437	"SLS"	2016-01-05
38.280705	-122.284438	"SLS"	2016-01-05
38.28613	-122.284545	"SLS"	2016-01-05
38.274554	-122.283062	"SLS"	2016-01-05
37.428858	-121.985636	"Mysid"	2016-01-09
37.46352	-121.99136	"Mysid"	2016-01-09
37.47575	-122.05791	"Mysid"	2016-01-09
37.46285	-121.9830833	"Mysid"	2016-01-09
37.46013333	-121.9775167	"Mysid"	2016-01-09
37.45056667	-121.96771	"Mysid"	2016-01-10
37.451541	-121.967346	"Mysid"	2016-01-10
37.46255	-121.9646833	"Mysid"	2016-01-10
37.46375	-121.9633833	"Mysid"	2016-01-10
37.46077	-121.97236	"Mysid"	2016-01-10
38.235112	-122.637413	"SLS"	2016-01-13
38.23173895	-122.6292937	"SLS"	2016-01-13
38.22863494	-122.6196259	"SLS"	2016-01-13
38.22888168	-122.6207515	"SLS"	2016-01-13
38.21558077	-122.5899437	"SLS"	2016-01-13
38.20811246	-122.5810863	"SLS"	2016-01-13
38.19594558	-122.5475444	"SLS"	2016-01-13
38.19368833	-122.5464041	"SLS"	2016-01-13
38.17467571	-122.5350802	"SLS"	2016-01-13
38.17303701	-122.5329861	"SLS"	2016-01-13
38.22896344	-122.4198886	"SLS"	2016-01-14
38.22713871	-122.4196566	"SLS"	2016-01-14
38.212577	-122.4206805	"SLS"	2016-01-14
38.21260089	-122.4210502	"SLS"	2016-01-14
38.13655738	-122.3912101	"SLS"	2016-01-14
38.13816899	-122.3920726	"SLS"	2016-01-14
38.1758168	-122.2931829	"SLS"	2016-01-15
